Grand Prix,Driver,Car,Time,year
Italy,Nico Rosberg,Mercedes,1:27.239,2012.0
Singapore,Nico Hulkenberg,Force India Mercedes,1:51.033,2012.0
Japan,Sebastian Vettel,Red Bull Racing Renault,1:35.774,2012.0
South Korea,Mark Webber,Red Bull Racing Renault,1:42.037,2012.0
India,Jenson Button,McLaren Mercedes,1:28.203,2012.0
Abu Dhabi,Sebastian Vettel,Red Bull Racing Renault,1:43.964,2012.0
United States,Sebastian Vettel,Red Bull Racing Renault,1:39.347,2012.0
Brazil,Lewis Hamilton,McLaren Mercedes,1:18.069,2012.0
Australia,Kimi Rдikkцnen,Lotus Renault,1:29.274,2013.0
Malaysia,Sergio Perez,McLaren Mercedes,1:39.199,2013.0
China,Sebastian Vettel,Red Bull Racing Renault,1:36.808,2013.0
Bahrain,Sebastian Vettel,Red Bull Racing Renault,1:36.961,2013.0
Spain,Esteban Gutierrez ,Sauber Ferrari,1:26.217,2013.0
Monaco,Sebastian Vettel,Red Bull Racing Renault,1:16.577,2013.0
Canada,Mark Webber,Red Bull Racing Renault,1:16.182,2013.0
Great Britain,Mark Webber,Red Bull Racing Renault,1:33.401,2013.0
Germany,Fernando Alonso,Ferrari,1:33.468,2013.0
Hungary,Mark Webber,Red Bull Racing Renault,1:24.069,2013.0
Belgium,Sebastian Vettel,Red Bull Racing Renault,1:50.756,2013.0
Italy,Lewis Hamilton,Mercedes,1:25.849,2013.0
Singapore,Sebastian Vettel,Red Bull Racing Renault,1:48.574,2013.0
South Korea,Sebastian Vettel,Red Bull Racing Renault,1:41.380,2013.0
Japan,Mark Webber,Red Bull Racing Renault,1:34.587,2013.0
India,Kimi Rдikkцnen,Lotus Renault,1:27.679,2013.0
Abu Dhabi,Fernando Alonso,Ferrari,1:43.434,2013.0
United States,Sebastian Vettel,Red Bull Racing Renault,1:39.856,2013.0
Brazil,Mark Webber,Red Bull Racing Renault,1:15.436,2013.0
Australia,Nico Rosberg,Mercedes,1:32.478,2014.0
Malaysia,Lewis Hamilton,Mercedes,1:43.066,2014.0
Bahrain,Nico Rosberg,Mercedes,1:37.020,2014.0
China,Nico Rosberg,Mercedes,1:40.402,2014.0
Spain,Sebastian Vettel,Red Bull Racing Renault,1:28.918,2014.0
Monaco,Kimi Rдikkцnen,Ferrari,1:18.479,2014.0
Canada,Felipe Massa,Williams Mercedes,1:18.504,2014.0
Austria,Sergio Perez,Force India Mercedes,1:12.142,2014.0
Great Britain,Lewis Hamilton,Mercedes,1:37.176,2014.0
Germany,Lewis Hamilton,Mercedes,1:19.908,2014.0
Hungary,Nico Rosberg,Mercedes,1:25.724,2014.0
Belgium,Nico Rosberg,Mercedes,1:50.511,2014.0
Italy,Lewis Hamilton,Mercedes,1:28.004,2014.0
Singapore,Lewis Hamilton,Mercedes,1:50.417,2014.0
Japan,Lewis Hamilton,Mercedes,1:51.600,2014.0
Russia,Valtteri Bottas,Williams Mercedes,1:40.896,2014.0
United States,Sebastian Vettel,Red Bull Racing Renault,1:41.379,2014.0
Brazil,Lewis Hamilton,Mercedes,1:13.555,2014.0
Abu Dhabi,Daniel Ricciardo,Red Bull Racing Renault,1:44.496,2014.0
Australia,Lewis Hamilton,Mercedes,1:30.945,2015.0
Malaysia,Nico Rosberg,Mercedes,1:42.062,2015.0
China,Lewis Hamilton,Mercedes,1:42.208,2015.0
Bahrain,Kimi Rдikkцnen,Ferrari,1:36.311,2015.0
Spain,Lewis Hamilton,Mercedes,1:28.270,2015.0
Monaco,Daniel Ricciardo,Red Bull Racing Renault,1:18.063,2015.0
Canada,Kimi Rдikkцnen,Ferrari,1:16.987,2015.0
Austria,Nico Rosberg,Mercedes,1:11.235,2015.0
Great Britain,Lewis Hamilton,Mercedes,1:37.093,2015.0
Hungary,Daniel Ricciardo,Red Bull Racing Renault,1:24.821,2015.0
Belgium,Nico Rosberg,Mercedes,1:52.416,2015.0
Italy,Lewis Hamilton,Mercedes,1:26.672,2015.0
Singapore,Daniel Ricciardo,Red Bull Racing Renault,1:50.041,2015.0
Japan,Lewis Hamilton,Mercedes,1:36.145,2015.0
Russia,Sebastian Vettel,Ferrari,1:40.071,2015.0
United States,Nico Rosberg,Mercedes,1:40.666,2015.0
Mexico,Nico Rosberg,Mercedes,1:20.521,2015.0
Brazil,Lewis Hamilton,Mercedes,1:14.832,2015.0
Abu Dhabi,Lewis Hamilton,Mercedes,1:44.517,2015.0
Australia,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:28.997,2016.0
Bahrain,Nico Rosberg,Mercedes,1:34.482,2016.0
China,Nico Hulkenberg,Force India Mercedes,1:39.824,2016.0
Russia,Nico Rosberg,Mercedes,1:39.094,2016.0
Spain,Daniil Kvyat,Toro Rosso Ferrari,1:26.948,2016.0
Monaco,Lewis Hamilton,Mercedes,1:17.939,2016.0
Canada,Nico Rosberg,Mercedes,1:15.599,2016.0
Europe,Nico Rosberg,Mercedes,1:46.485,2016.0
Austria,Lewis Hamilton,Mercedes,1:08.411,2016.0
Great Britain,Nico Rosberg,Mercedes,1:35.548,2016.0
Hungary,Kimi Rдikkцnen,Ferrari,1:23.086,2016.0
Germany,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:18.442,2016.0
Belgium,Lewis Hamilton,Mercedes,1:51.583,2016.0
Italy,Fernando Alonso,McLaren Honda,1:25.340,2016.0
Singapore,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:47.187,2016.0
Malaysia,Nico Rosberg,Mercedes,1:36.424,2016.0
Japan,Sebastian Vettel,Ferrari,1:35.118,2016.0
United States,Sebastian Vettel,Ferrari,1:39.877,2016.0
Mexico,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:21.134,2016.0
Brazil,Max Verstappen,Red Bull Racing TAG Heuer,1:25.305,2016.0
Abu Dhabi,Sebastian Vettel,Ferrari,1:43.729,2016.0
Australia,Kimi Rдikkцnen,Ferrari,1:26.538,2017.0
China,Lewis Hamilton,Mercedes,1:35.378,2017.0
Bahrain,Lewis Hamilton,Mercedes,1:32.798,2017.0
Russia,Kimi Rдikkцnen,Ferrari,1:36.844,2017.0
Spain,Lewis Hamilton,Mercedes,1:23.593,2017.0
Monaco,Sergio Perez,Force India Mercedes,1:14.820,2017.0
Canada,Lewis Hamilton,Mercedes,1:14.551,2017.0
Azerbaijan,Sebastian Vettel,Ferrari,1:43.441,2017.0
Austria,Lewis Hamilton,Mercedes,1:07.411,2017.0
Great Britain,Lewis Hamilton,Mercedes,1:30.621,2017.0
Hungary,Fernando Alonso,McLaren Honda,1:20.182,2017.0
Belgium,Sebastian Vettel,Ferrari,1:46.577,2017.0
Italy,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:23.361,2017.0
Singapore,Lewis Hamilton,Mercedes,1:45.008,2017.0
Malaysia,Sebastian Vettel,Ferrari,1:34.080,2017.0
Japan,Valtteri Bottas,Mercedes,1:33.144,2017.0
United States,Sebastian Vettel,Ferrari,1:37.766,2017.0
Mexico,Sebastian Vettel,Ferrari,1:18.785,2017.0
Brazil,Max Verstappen,Red Bull Racing TAG Heuer,1:11.044,2017.0
Abu Dhabi,Valtteri Bottas,Mercedes,1:40.650,2017.0
Australia,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:25.945,2018.0
Bahrain,Valtteri Bottas,Mercedes,1:33.740,2018.0
China,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:35.785,2018.0
Azerbaijan,Valtteri Bottas,Mercedes,1:45.149,2018.0
Spain,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:18.441,2018.0
Monaco,Max Verstappen,Red Bull Racing TAG Heuer,1:14.260,2018.0
Canada,Max Verstappen,Red Bull Racing TAG Heuer,1:13.864,2018.0
France,Valtteri Bottas,Mercedes,1:34.225,2018.0
Austria,Kimi Rдikkцnen,Ferrari,1:06.957,2018.0
Great Britain,Sebastian Vettel,Ferrari,1:30.696,2018.0
Germany,Lewis Hamilton,Mercedes,1:15.545,2018.0
Hungary,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:20.012,2018.0
Belgium,Valtteri Bottas,Mercedes,1:46.286,2018.0
Italy,Lewis Hamilton,Mercedes,1:22.497,2018.0
Singapore,Kevin Magnussen,Haas Ferrari,1:41.905,2018.0
Russia,Valtteri Bottas,Mercedes,1:35.861,2018.0
Japan,Sebastian Vettel,Ferrari,1:32.318,2018.0
United States,Lewis Hamilton,Mercedes,1:37.392,2018.0
Mexico,Valtteri Bottas,Mercedes,1:18.741,2018.0
Brazil,Valtteri Bottas,Mercedes,1:10.540,2018.0
Abu Dhabi,Sebastian Vettel,Ferrari,1:40.867,2018.0
Australia,Valtteri Bottas,Mercedes,1:25.580,2019.0
Bahrain,Charles Leclerc,Ferrari,1:33.411,2019.0
China,Pierre Gasly,Red Bull Racing Honda,1:34.742,2019.0
Azerbaijan,Charles Leclerc,Ferrari,1:43.009,2019.0
Spain,Lewis Hamilton,Mercedes,1:18.492,2019.0
Monaco,Pierre Gasly,Red Bull Racing Honda,1:14.279,2019.0
Canada,Valtteri Bottas,Mercedes,1:13.078,2019.0
France,Sebastian Vettel,Ferrari,1:32.740,2019.0
Austria,Max Verstappen,Red Bull Racing Honda,1:07.475,2019.0
Great Britain,Lewis Hamilton,Mercedes,1:27.369,2019.0
Germany,Max Verstappen,Red Bull Racing Honda,1:16.645,2019.0
Hungary,Max Verstappen,Red Bull Racing Honda,1:17.103,2019.0
Belgium,Sebastian Vettel,Ferrari,1:46.409,2019.0
Italy,Lewis Hamilton,Mercedes,1:21.779,2019.0
Singapore,Kevin Magnussen,Haas Ferrari,1:42.301,2019.0
Russia,Lewis Hamilton,Mercedes,1:35.761,2019.0
Japan,Lewis Hamilton,Mercedes,1:30.983,2019.0
Mexico,Charles Leclerc,Ferrari,1:19.232,2019.0
United States,Charles Leclerc,Ferrari,1:36.169,2019.0
Brazil,Valtteri Bottas,Mercedes,1:10.698,2019.0
Abu Dhabi,Lewis Hamilton,Mercedes,1:39.283,2019.0
Austria,Lando Norris,McLaren Renault,1:07.475,2020.0
Styria,Carlos Sainz,McLaren Renault,1:05.619,2020.0
Hungary,Lewis Hamilton,Mercedes,1:16.627,2020.0
Great Britain,Max Verstappen,Red Bull Racing Honda,1:27.097,2020.0
70th Anniversary,Lewis Hamilton,Mercedes,1:28.451,2020.0
Spain,Valtteri Bottas,Mercedes,1:18.183,2020.0
Belgium,Daniel Ricciardo,Renault,1:47.483,2020.0
Italy,Lewis Hamilton,Mercedes,1:22.746,2020.0
Tuscany,Lewis Hamilton,Mercedes,1:18.833,2020.0
Russia,Valtteri Bottas,Mercedes,1:37.030,2020.0
Eifel,Max Verstappen,Red Bull Racing Honda,1:28.139,2020.0
Portugal,Lewis Hamilton,Mercedes,1:18.750,2020.0
Emilia Romagna,Lewis Hamilton,Mercedes,1:15.484,2020.0
Turkey,Lando Norris,McLaren Renault,1:36.806,2020.0
Bahrain,Max Verstappen,Red Bull Racing Honda,1:32.014,2020.0
Sakhir,George Russell,Mercedes,55.404,2020.0
Abu Dhabi,Daniel Ricciardo,Renault,1:40.926,2020.0
Bahrain,Valtteri Bottas,Mercedes,1:32.090,2021.0
Emilia Romagna,Lewis Hamilton,Mercedes,1:16.702,2021.0
Portugal,Valtteri Bottas,Mercedes,1:19.865,2021.0
Spain,Max Verstappen,Red Bull Racing Honda,1:18.149,2021.0
Monaco,Lewis Hamilton,Mercedes,1:12.909,2021.0
Azerbaijan,Max Verstappen,Red Bull Racing Honda,1:44.481,2021.0
France,Max Verstappen,Red Bull Racing Honda,1:36.404,2021.0
Styria,Lewis Hamilton,Mercedes,1:07.058,2021.0
Austria,Max Verstappen,Red Bull Racing Honda,1:06.200,2021.0
Great Britain,Sergio Perez,Red Bull Racing Honda,1:28.617,2021.0
Hungary,Pierre Gasly,AlphaTauri Honda,1:18.394,2021.0
Netherlands,Lewis Hamilton,Mercedes,1:11.097,2021.0
Italy,Daniel Ricciardo,McLaren Mercedes,1:24.812,2021.0
Russia,Lando Norris,McLaren Mercedes,1:37.423,2021.0
Turkey,Valtteri Bottas,Mercedes,1:30.432,2021.0
United States,Lewis Hamilton,Mercedes,1:38.485,2021.0
Mexico,Valtteri Bottas,Mercedes,1:17.774,2021.0
Brazil,Sergio Perez,Red Bull Racing Honda,1:11.010,2021.0
Qatar,Max Verstappen,Red Bull Racing Honda,1:23.196,2021.0
Saudi Arabia,Lewis Hamilton,Mercedes,1:30.734,2021.0
Abu Dhabi,Max Verstappen,Red Bull Racing Honda,1:26.103,2021.0
Bahrain,Charles Leclerc,Ferrari,1:34.570,2022.0
Saudi Arabia,Charles Leclerc,Ferrari,1:31.634,2022.0
Australia,Charles Leclerc,Ferrari,1:20.260,2022.0
Emilia Romagna,Max Verstappen,Red Bull Racing RBPT,1:18.446,2022.0
Miami,Max Verstappen,Red Bull Racing RBPT,1:31.361,2022.0
Spain,Sergio Perez,Red Bull Racing RBPT,1:24.108,2022.0
Monaco,Lando Norris,McLaren Mercedes,1:14.693,2022.0
Azerbaijan,Sergio Perez,Red Bull Racing RBPT,1:46.046,2022.0
Canada,Carlos Sainz,Ferrari,1:15.749,2022.0
Great Britain,Lewis Hamilton,Mercedes,1:30.510,2022.0
Austria,Max Verstappen,Red Bull Racing RBPT,1:07.275,2022.0
France,Carlos Sainz,Ferrari,1:35.781,2022.0
Hungary,Lewis Hamilton,Mercedes,1:21.386,2022.0
Belgium,Max Verstappen,Red Bull Racing RBPT,1:49.354,2022.0
Netherlands,Max Verstappen,Red Bull Racing RBPT,1:13.652,2022.0
Italy,Sergio Perez,Red Bull Racing RBPT,1:24.030,2022.0
Singapore,George Russell,Mercedes,1:46.458,2022.0
Japan,Zhou Guanyu,Alfa Romeo Ferrari,1:44.411,2022.0
United States,George Russell,Mercedes,1:38.788,2022.0
Mexico,George Russell,Mercedes,1:20.153,2022.0
Brazil,George Russell,Mercedes,1:13.785,2022.0
Abu Dhabi,Lando Norris,McLaren Mercedes,1:28.391,2022.0
