Grand Prix,Driver,Car,Time,year
Italy,Jackie Oliver,Lotus Ford,1:26.500,1968.0
Canada,Jo Siffert,Lotus Ford,1:35.100,1968.0
United States,Jackie Stewart,Matra Ford,1:05.220,1968.0
Mexico,Jo Siffert,Lotus Ford,1:44.230,1968.0
South Africa,Jackie Stewart,Matra Ford,1:21.600,1969.0
Spain,Jochen Rindt,Lotus Ford,1:28.300,1969.0
Monaco,Jackie Stewart,Matra Ford,1:25.100,1969.0
Netherlands,Jackie Stewart,Matra Ford,1:22.940,1969.0
France,Jackie Stewart,Matra Ford,3:02.700,1969.0
Great Britain,Jackie Stewart,Matra Ford,1:21.300,1969.0
Germany,Jacky Ickx,Brabham Climax,7:43.800,1969.0
Italy,Jean-Pierre Beltoise,Matra Ford,1:25.200,1969.0
Canada,Jacky Ickx,Brabham Climax,1:18.100,1969.0
United States,Jochen Rindt,Lotus Ford,1:04.340,1969.0
Mexico,Jacky Ickx,Brabham Climax,1:43.050,1969.0
South Africa,John Surtees,McLaren Ford,1:20.800,1970.0
Spain,Jack Brabham,Brabham Ford,1:24.300,1970.0
Monaco,Jochen Rindt,Lotus Ford,1:23.200,1970.0
Belgium,Chris Amon,March Ford,3:27.400,1970.0
Netherlands,Jacky Ickx,Ferrari,1:19.230,1970.0
France,Jack Brabham,Brabham Ford,3:00.750,1970.0
Great Britain,Jack Brabham,Brabham Ford,1:25.900,1970.0
Germany,Jacky Ickx,Ferrari,2:00.500,1970.0
Austria,Jacky Ickx,Ferrari,1:40.400,1970.0
Italy,Clay Regazzoni,Ferrari,1:25.200,1970.0
Canada,Clay Regazzoni,Ferrari,1:32.200,1970.0
United States,Jacky Ickx,Ferrari,1:02.740,1970.0
Mexico,Jacky Ickx,Ferrari,1:43.110,1970.0
South Africa,Mario Andretti,Ferrari,1:20.300,1971.0
Spain,Jacky Ickx,Ferrari,1:25.100,1971.0
Monaco,Jackie Stewart,Tyrrell Ford,1:22.200,1971.0
Netherlands,Jacky Ickx,Ferrari,1:34.950,1971.0
France,Jackie Stewart,Tyrrell Ford,1:54.090,1971.0
Great Britain,Jackie Stewart,Tyrrell Ford,1:19.900,1971.0
Germany,Francois  Cevert ,Tyrrell Ford,7:20.100,1971.0
Austria,Jo Siffert,BRM,1:38.470,1971.0
Italy,Henri Pescarolo,March Ford,1:23.800,1971.0
Canada,Denny Hulme,McLaren Ford,1:43.500,1971.0
United States,Jacky Ickx,Ferrari,1:43.474,1971.0
Argentina,Jackie Stewart,Tyrrell Ford,1:13.660,1972.0
South Africa,Mike Hailwood,Surtees Ford,1:18.900,1972.0
Spain,Jacky Ickx,Ferrari,1:21.010,1972.0
Monaco,Jean-Pierre Beltoise,BRM,1:40.000,1972.0
Belgium,Chris Amon,Matra,1:12.120,1972.0
France,Chris Amon,Matra,2:53.900,1972.0
Great Britain,Jackie Stewart,Tyrrell Ford,1:24.000,1972.0
Germany,Jacky Ickx,Ferrari,7:13.600,1972.0
Austria,Denny Hulme,McLaren Ford,1:38.320,1972.0
Italy,Jacky Ickx,Ferrari,1:36.300,1972.0
Canada,Jackie Stewart,Tyrrell Ford,1:15.700,1972.0
United States,Jackie Stewart,Tyrrell Ford,1:41.644,1972.0
Argentina,Emerson Fittipaldi,Lotus Ford,1:11.220,1973.0
Brazil,Emerson Fittipaldi,Lotus Ford,2:35.000,1973.0
South Africa,Emerson Fittipaldi,Lotus Ford,1:17.100,1973.0
Spain,Ronnie Peterson,Lotus Ford,1:23.800,1973.0
Belgium,Francois  Cevert ,Tyrrell Ford,1:25.420,1973.0
Monaco,Emerson Fittipaldi,Lotus Ford,1:28.100,1973.0
Sweden,Denny Hulme,McLaren Ford,1:26.146,1973.0
France,Denny Hulme,McLaren Ford,1:50.990,1973.0
Great Britain,James Hunt,March Ford,1:18.600,1973.0
Netherlands,Ronnie Peterson,Lotus Ford,1:20.310,1973.0
Germany,Carlos Pace,Surtees Ford,7:11.400,1973.0
Austria,Carlos Pace,Surtees Ford,1:37.290,1973.0
Italy,Jackie Stewart,Tyrrell Ford,1:35.300,1973.0
Canada,Emerson Fittipaldi,Lotus Ford,1:15.496,1973.0
United States,James Hunt,March Ford,1:41.652,1973.0
Argentina,Clay Regazzoni,Ferrari,1:52.100,1974.0
Brazil,Clay Regazzoni,Ferrari,2:36.050,1974.0
South Africa,Carlos Reutemann,Brabham Ford,1:18.160,1974.0
Spain,Niki Lauda,Ferrari,1:20.830,1974.0
Belgium,Denny Hulme,McLaren Ford,1:11.310,1974.0
Monaco,Ronnie Peterson,Lotus Ford,1:27.900,1974.0
Sweden,Patrick Depailler,Tyrrell Ford,1:27.262,1974.0
Netherlands,Ronnie Peterson,Lotus Ford,1:21.440,1974.0
France,Jody Scheckter,Tyrrell Ford,1:00.000,1974.0
Great Britain,Niki Lauda,Ferrari,1:21.100,1974.0
Germany,Jody Scheckter,Tyrrell Ford,7:11.100,1974.0
Austria,Clay Regazzoni,Ferrari,1:37.220,1974.0
Italy,Carlos Pace,Brabham Ford,1:34.200,1974.0
Canada,Niki Lauda,Ferrari,1:13.659,1974.0
United States,Carlos Pace,Brabham Ford,1:40.608,1974.0
Argentina,James Hunt,Hesketh Ford,1:50.910,1975.0
Brazil,Jean-Pierre Jarier,Shadow Matra,2:34.160,1975.0
South Africa,Carlos Pace,Brabham Ford,1:17.200,1975.0
Spain,Mario Andretti,Parnelli Ford,1:25.100,1975.0
Monaco,Patrick Depailler,Tyrrell Ford,1:28.670,1975.0
Belgium,Clay Regazzoni,Ferrari,1:26.760,1975.0
Sweden,Niki Lauda,Ferrari,1:28.267,1975.0
Netherlands,Niki Lauda,Ferrari,1:21.540,1975.0
France,Jochen Mass,McLaren Ford,1:50.600,1975.0
Great Britain,Clay Regazzoni,Ferrari,1:20.900,1975.0
Germany,Clay Regazzoni,Ferrari,7:06.400,1975.0
Austria,Vittorio Brambilla,March Ford,1:53.900,1975.0
Italy,Clay Regazzoni,Ferrari,1:33.100,1975.0
United States,Emerson Fittipaldi,McLaren Ford,1:43.374,1975.0
Brazil,Jean-Pierre Jarier,Shadow Ford,2:35.070,1976.0
South Africa,Niki Lauda,Ferrari,1:17.970,1976.0
USA West,Clay Regazzoni,Ferrari,1:23.076,1976.0
Spain,Jochen Mass,McLaren Ford,1:20.930,1976.0
Belgium,Niki Lauda,Ferrari,1:25.980,1976.0
Monaco,Clay Regazzoni,Ferrari,1:30.280,1976.0
Sweden,Mario Andretti,Lotus Ford,1:28.002,1976.0
France,Niki Lauda,Ferrari,1:51.000,1976.0
Great Britain,Niki Lauda,Ferrari,1:19.910,1976.0
Germany,Jody Scheckter,Tyrrell Ford,7:10.800,1976.0
Austria,James Hunt,McLaren Ford,1:35.910,1976.0
Netherlands,Clay Regazzoni,Ferrari,1:22.590,1976.0
Italy,Ronnie Peterson,March Ford,1:41.300,1976.0
Canada,Patrick Depailler,Tyrrell Ford,1:13.817,1976.0
USA East,James Hunt,McLaren Ford,1:42.851,1976.0
Japan,Jacques Laffite,Ligier Matra,1:19.970,1976.0
Argentina,James Hunt,McLaren Ford,1:51.060,1977.0
Brazil,James Hunt,McLaren Ford,2:34.550,1977.0
South Africa,John Watson,Brabham Alfa Romeo,1:17.630,1977.0
USA West,Niki Lauda,Ferrari,1:22.753,1977.0
Spain,Jacques Laffite,Ligier Matra,1:20.810,1977.0
Monaco,Jody Scheckter,Wolf Ford,1:31.070,1977.0
Belgium,Gunnar Nilsson,Lotus Ford,1:27.540,1977.0
Sweden,Mario Andretti,Lotus Ford,1:27.607,1977.0
France,Mario Andretti,Lotus Ford,1:13.750,1977.0
Great Britain,James Hunt,McLaren Ford,1:19.600,1977.0
Germany,Niki Lauda,Ferrari,1:55.990,1977.0
Austria,John Watson,Brabham Alfa Romeo,1:40.960,1977.0
Netherlands,Niki Lauda,Ferrari,1:19.990,1977.0
